Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
Show It All,Chinese TV Show - 2024,15 episodes,"""Show It All"" gathers five international girl groups for a 100-day crosscultural experience with Chinese girl groups under the leadership of Lay Zhang.

(Source: Chinese = MangoTV || Translation = MyDramaList)",7.9
"Wish I Have, Kara",Korean TV Show - 2024,8 episodes,"Travel reality show featuring the iconic girl group KARA. Set in Kota Kinabalu, the show brings together all five members for a memorable journey filled with camaraderie and authenticity.

(Source: Allkpop)",9.2
Perfect Singer,Chinese TV Show - 2024,10 episodes,Overview not available,
Daughters and Mothers,Chinese TV Show - 2024,13 episodes,Overview not available,
Show It All Pilot,Chinese TV Show - 2024,1 episodes,Overview not available,7.7
Illit: I’ll (Show) It,Korean TV Show - 2024,1 episodes,Overview not available,8.0
Yi Mian Zhi Yue,Chinese TV Show - 2024,4 episodes,Overview not available,
We 12 Grab the Popcorn,Hong Kong TV Show - 2024,1 episodes,Overview not available,
Italy Santo Monogatari: Fashionable no Roots wo Saguru,Japanese TV Show - 2024,5 episodes,"The program is presented by FENDI, a luxury brand from Rome, Italy. The two, Kawaguchi Haruna and Meguro Ren, are FENDI's Japan brand ambassadors. The two focus on history in Rome, craftsmen in Florence, and fashion…",
Sweet Moments,Chinese TV Show - 2024,8 episodes,"It captures the daily interactions between SNH48's Wang Yi and Zhou Shi Yu, providing a detailed look into the events of a week and the subtle emotions that accompany them. Taking place in the exotic city of Xinjiang,…",
Equal Love x Love,Japanese TV Show - 2024,6 episodes,Overview not available,
The Great Guide,Korean TV Show - 2024,15 episodes,A travel reality program where a foreigner who has lived in South Korea for many years becomes a guide and travels to spots known only to travelers visiting their home country and locals. (Source: Korean = MBC Every1…,
Fully Booked,Thai TV Show - 2024,6 episodes,"It's never before seen! This is a reality show where six idols from GMMTV will fly across the sky to open a Thai restaurant in Japan! Cook, serve, and run, they'll get it all done from the beginning to the end without…",7.7
Super Trio: Happy Easter Special,Hong Kong TV Show - 2024,1 episodes,Overview not available,
Let's Go Go,Korean TV Show - 2024,8 episodes,A program that depicts the process of five MCs who escape the waves of various social media and take to the streets to find 'real friends' and become friends by instantly recruiting various celebrities and ordinary people…,
We Got Married Season 5,Japanese TV Show - 2024,10 episodes,Overview not available,
Ride Now: Vanuatu,Chinese TV Show - 2024,2 episodes,"Leo Wu and his team travel to the volcanic island to show the world's wonder.

(Source: MyDramaList)",8.0
Ping Heng Da Zuo Zhan,Chinese TV Show - 2024,4 episodes,"Balancing life and nature, the four balance team members will spend time in both the bustling city of Wuhan and the wilderness of the desert to find the perfect balance.

(Source: MyDramaList)",8.3
Mayanne Blah Blah Blah,Hong Kong TV Show - 2024,12 episodes,Overview not available,
Jia Ren Zi You Yue,Chinese TV Show - 2024,12 episodes,Overview not available,
"Gominsunsak: It Was There, but It Wasn’t There",Korean TV Show - 2024,8 episodes,"A sacred open talk lounge opens at a pop-up counseling center in the secular world. Members of the four major religions, Protestantism, Buddhism, Catholicism, and Won-Buddhism, visit different locations every week, including…",
Diva Sisters Season 2,Korean TV Show - 2024,8 episodes,Overview not available,
Jia Ren Zi You Yue Pilot,Chinese TV Show - 2024,1 episodes,Overview not available,
Happy Collar,Hong Kong TV Show - 2024,10 episodes,Overview not available,
"Sawatdee Khrap T-Boys!!: Ima, Chumoku Subeki Thai no Top Artist ni Mitchaku",Japanese TV Show - 2024,10 episodes,Overview not available,
The Chinese Poetry Competition Season 9,Chinese TV Show - 2024,10 episodes,Overview not available,
Xing Yun Lv Xing Jia,Chinese TV Show - 2024,12 episodes,"Three pairs of good friends go travel but the stops are determined by luck in monopoly.

(Source: MyDramaList)",
World Dice Tour Season 2,Korean TV Show - 2024,14 episodes,"ªEarth Marble World Tour 2ª is back! An unpredictable adventure with the roll of the dice! An unpredictable journey through the seasons! Season 2 of! Three travel creators, ªPani Bottle, Kwak Joon Bin, and Won Ji…",8.4
TWS Document 2024.01.22,Korean TV Show - 2024,1 episodes,Overview not available,
ME:I no Yume Mitai!,Japanese TV Show - 2024,6 episodes,"It's ME:I's first title program, post their audition on ""PRODUCE 101 JAPAN THE GIRLS"". The name is ""It's like a dream for ME:I!"". The girls will participate in various activities, including traveling, food tasting, and…",7.8
Famous Singers and Street Judges,Korean TV Show - 2024,10 episodes,"Following the conclusion of ""Singer Again Season 3"" on January 18th, this new variety show features the top 7 emerging artists from the competition along with MCs Lee Seung Gi and Kyu Hyun. They will leave the confines…",
Zhen Ai Zhi Shang,Chinese TV Show - 2024,10 episodes,Overview not available,5.5
Highteen Bible,Japanese TV Show - 2024,40 episodes,Overview not available,
Girls Frontier,Korean TV Show - 2024,10 episodes,"Girls Frontier is a growing idol league project in which a variety of participants, including former K-pop idols, Japanese under-idols, and former idol trainees, as well as influencers and creators, participate. The…",
Saturday Night Live Korea Season 14,Korean TV Show - 2024,10 episodes,Overview not available,
Chao Ji Yu Wen Ke Season 3,Chinese TV Show - 2024,12 episodes,Overview not available,
Shi Fen Mei Li,Chinese TV Show - 2024,18 episodes,Overview not available,
Psycommentary,Korean TV Show - 2024,6 episodes,"A new factual talk show explores human nature by examining the lives of two characters with the exact nature but different life paths and the devastating consequences that ""one difference"" makes. (Source: Korean = OnDemand…",
Wentao's Odyssey Season 3 (Extra Episode),Chinese TV Show - 2024,24 episodes,Overview not available,
The Club of Dreams,Chinese TV Show - 2024,28 episodes,Overview not available,
DNAcers,Korean TV Show - 2024,N/A,Overview not available,
Ninosan Special: Ninosan to Asobo 3,Japanese TV Show - 2024,1 episodes,"In the third installment of Ninosan to Asobo, Nino-san family members will come out of from the studio and have fun with their good friends. This trip is where you can have a fun trip with some great friends who decide…",
Super Trio: Lantern Festival Special,Hong Kong TV Show - 2024,1 episodes,Overview not available,
People's Verdict,Korean TV Show - 2024,2 episodes,It is a show in which representative jurors of the public look back on the frustrating case in the news and make a new ruling in line with the current public legal sentiment through refreshing debate. (Source: Korean…,
Yi Wan Yuan Wu Tai,Chinese TV Show - 2024,6 episodes,"Two artists are pitted against each other in a live house setting to provide a ""ten thousand dollar"" performance.

(Source: MyDramaLit)",
Guardians of the Memory,Hong Kong TV Show - 2024,15 episodes,Overview not available,
Disabled Globetrotting: Thailand,Hong Kong TV Show - 2024,4 episodes,Overview not available,
The Golden Song Season 6,Thai TV Show - 2024,26 episodes,"Thirty-six competitors sing golden songs from the Suntaraporn, Luk Krung and international seventies to eighties eras in this search for incredible singers.

(Source: MyDramaList)",
The Voice Teens Season 3,Filipino TV Show - 2024,27 episodes,"In each audition, each artist performs their piece in front of the panel of coaches, whose chairs are facing the audience. If a coach is interested in working with the artist, they may opt to press the button to face…",
No.17 Live House Season 2,Chinese TV Show - 2024,10 episodes,Overview not available,
Run for Time Season 4,Chinese TV Show - 2024,12 episodes,Overview not available,7.4
Jia You! Xiao Dian Season 2,Chinese TV Show - 2024,10 episodes,"Discover how small stores in Shanghai survive in the bustling city.

(Source: MyDramaList)",
Jun Hyun Moo's Plan,Korean TV Show - 2024,18 episodes,Overview not available,
Another Me,Hong Kong TV Show - 2024,8 episodes,Overview not available,
What to Do for New Year,Hong Kong TV Show - 2024,15 episodes,Overview not available,
A Daily Dose of Well-Being,Hong Kong TV Show - 2024,120 episodes,Overview not available,
Funny Funny Home,Hong Kong TV Show - 2024,15 episodes,Overview not available,
Travel Forerunners,Hong Kong TV Show - 2024,10 episodes,Overview not available,
Kim Chang Ok Show Reboot Season 2,Korean TV Show - 2024,14 episodes,"Kim Chang Ok returns to address relationship hurdles, intimate concerns seeking elusive answers, and the internal conflicts nestled in everyone's hearts. Through special stories, he aims to engage audiences in heartfelt…",
Nego King Season 6,Korean TV Show - 2024,10 episodes,Overview not available,
Jjajangmyeon Rhapsody,Korean TV Show - 2024,2 episodes,"Trace Jjajangmyeon's flavorful evolution from its Chinese origins to its status as one of South Korea's most beloved comfort foods.

(Source:  TMDb)",8.0
Foodie Lab,Korean TV Show - 2024,10 episodes,Overview not available,
P1X3L 5G Starry Dragon Year,Hong Kong TV Show - 2024,10 episodes,Overview not available,
The Must-Try Restaurants Season 2,Korean TV Show - 2024,20 episodes,"Are these buzz-worthy restaurants really worth the hours-long wait? Four celebrities give their verdicts on the most popular dining spots on social media!

(Source: CJ ENM)",
Unveiling the Mystery of Arabia,Hong Kong TV Show - 2024,10 episodes,Overview not available,
Once More,Chinese TV Show - 2024,12 episodes,Overview not available,6.1
Shine! Youth Season 2,Chinese TV Show - 2024,7 episodes,Overview not available,
Play King,Korean TV Show - 2024,10 episodes,The Creator Audition that will rule your algorithm is coming! Korea’s first creator audition ‘Subscription King’! Korea Rising will win the final prize of 100 million won! Who will be the number one creator? (Source:…,
Da Re Men Lai Le,Chinese TV Show - 2024,12 episodes,Overview not available,
Emojination Season 4,Filipino TV Show - 2024,9 episodes,Overview not available,
All Creatures You Made,Chinese TV Show - 2024,4 episodes,Overview not available,
Detectives' Trade Secrets,Korean TV Show - 2024,10 episodes,Overview not available,
SHINee no Hako,Japanese TV Show - 2024,2 episodes,Overview not available,8.6
